stars	language	updated	issues	size	forks	watchers	repo	created	description
385	Java	2019-02-25	895	75218	203	385	https://github.com/IQSS/dataverse	2013-11-01	Open source research data repository software
382	Python	2019-02-22	342	47959	100	382	https://github.com/glue-viz/glue	2011-05-18	Linked Data Visualizations Across Multiple Files
202	JavaScript	2019-02-21	206	44578	43	202	https://github.com/harvard-lil/perma	2013-05-06	Indelible links
125	Ruby	2019-02-22	9	202	18	125	https://github.com/berkmancenter/namae	2012-05-21	Namae (名前) parses personal names and splits them into their component parts.
117	JavaScript	2016-02-05	5	3601	14	117	https://github.com/HBRGTech/daisy	2014-11-16	daisy is a vagrant and grunt-powered Pattern Lab, derivative work from hbr.org's 2014 redesign.
103	HTML	2019-02-25	80	253165	50	103	https://github.com/berkmancenter/mediacloud	2013-06-26	Media Cloud is an open source, open data platform that allows researchers to answer quantitative questions about the content of online media.
92	C	2017-06-01	1	135	1	92	https://github.com/HarvardPL/shill	2014-10-04	Scripting with Least Privilege
89	JavaScript	2019-02-25	367	87697	20	89	https://github.com/refinery-platform/refinery-platform	2011-11-23	The Refinery Platform is a data management, analysis and visualization system for bioinformatics and computational biology applications. The platforms consists of three major components: a data repository with rich metadata capabilities, a workflow engine based on the popular Galaxy system, and visualization tools to support the exploration and interpretation of results at all stages of the analysis process.
87	JavaScript	2018-10-17	45	264201	32	87	https://github.com/cga-harvard/geonode	2010-11-01	Harvard WorldMap is a heavily modified fork of GeoNode 1.4 which has recently been migrated to GeoNode 2.10. WorldMap is being made available by Harvard's Center for Geographic Analysis to lower the barrier for scholars and others who wish to explore, visualize, edit, collaborate with, and publish geospatial information.
72	Ruby	2018-11-02	16	6714	24	72	https://github.com/berkmancenter/tagteam	2011-07-12	Enhanced Social Tagging for Academic Communities
68	R	2018-02-27	27	115034	32	68	https://github.com/IQSS/Zelig	2013-12-05	A statistical framework that serves as a common interface to a large range of models
67	Ruby	2019-02-21	2	17747	44	67	https://github.com/berkmancenter/lumendatabase	2012-04-16	The Lumen Database collects and analyzes legal complaints and requests for removal of online materials.
51	Perl	2019-02-05	17	662458	37	51	https://github.com/harvard-lts/fits	2013-03-02	File Information Tool Set
39	HTML	2018-02-21	1	19713	15	39	https://github.com/berkmancenter/internet_monitor	2013-08-05	The Internet Monitor is a research project to evaluate, describe, and summarize the means, mechanisms, and extent of Internet content controls and Internet activity around the world.
33	JavaScript	2017-11-07	12	3367	16	33	https://github.com/berkmancenter/dotplot	2015-02-19	Telling a story through dots
32	JavaScript	2019-01-11	58	2918	19	32	https://github.com/cga-harvard/Hypermap-Registry	2015-12-17	Hypermap Registry, remote map services made easy for your SDI  
29	JavaScript	2018-08-02	32	23323	15	29	https://github.com/IQSS/TwoRavens	2013-07-02	See https://github.com/tworavens/tworavens for current repository for this project and http://2ra.vn for project pages.
23	JavaScript	2019-01-30	7	2141	4	23	https://github.com/harvard-library/aspace-import-excel	2017-01-19	Import resources, archival objects, etc. into ArchivesSpace using Excel spreadsheet files
23	JavaScript	2019-02-02	22	8421	29	23	https://github.com/berkmancenter/question_tool	2015-06-15	A web application to propose and vote on questions on a particular subject.
22	PHP	2018-10-22	17	2741	8	22	https://github.com/berkmancenter/amber_wordpress	2014-02-11	Amber plugin for Wordpress
20	Shell	2019-01-24	4	90369	6	20	https://github.com/fasrc/helmod	2013-12-16	Harvard Extensions for Lmod deployment
20	Python	2018-11-10	3	628	12	20	https://github.com/IQSS/redmine2github	2014-07-01	Scripts to migrate redmine tickets to github issues
15	Ruby	2018-03-17	89	3968	20	15	https://github.com/berkmancenter/bookanook	2015-07-01	
14	HTML	2017-05-26	0	16522	4	14	https://github.com/cga-harvard/hhypermap-bop	2016-05-31	HHypermap BOP -- Harvard Hypermap, Billion Object Platform (using Apache Solr)
14	Python	2019-02-06	5	84	15	14	https://github.com/Harvard-University-iCommons/django-auth-lti	2013-11-22	
12	Python	2018-08-02	6	2220	5	12	https://github.com/penzance/canvas_python_sdk	2014-06-18	Canvas Python SDK
11	JavaScript	2018-12-13	3	27015	14	11	https://github.com/cid-harvard/atlas-subnational-frontend	2015-04-21	
10	HTML	2019-01-14	12	2098	5	10	https://github.com/OpenSDP/OpenSDPsynthR	2017-02-28	Codebase to generate simulated data for OpenSDP project
9	Java	2019-02-07	1	77728	2	9	https://github.com/harvard-library/librarycloud	2014-04-07	Harvard University Library Cloud API
8	Python	2019-02-07	0	24303	3	8	https://github.com/cid-harvard/classifications	2015-02-04	Various industry and product classifications that we took from original sources and cleaned to be computer-readable
8	Jupyter Notebook	2017-05-24	0	86066	4	8	https://github.com/cid-harvard/visualization-notebook-templates	2015-09-23	A set of iPython notebooks that can be used to generate some of the most common atlas-style visualizations with datasets in stata or csv
8	Python	2018-11-26	2	37	0	8	https://github.com/cid-harvard/pandas-to-postgres	2018-07-12	Copy Pandas DataFrames and HDF5 files to PostgreSQL database
8		2017-01-06	2	532	2	8	https://github.com/berkmancenter/amber_drupal	2014-02-11	Amber module for Drupal
8	Python	2018-12-21	0	93	0	8	https://github.com/cid-harvard/py-ecomplexity	2018-10-29	Python package to compute economic complexity and associated variables
7	Java	2019-02-12	61	36014	10	7	https://github.com/IQSS/DataTaggingLibrary	2013-08-22	Language tools for DataTags (Decision graph variant). Including the embeddable runtime engine
7	HTML	2018-04-03	1	279	2	7	https://github.com/OpenSDP/dataviz-r	2017-05-18	OpenSDP data visualization tutorials in R for education data analysts, including R Shiny tutorial 
7	Stata	2018-12-20	2	29	3	7	https://github.com/cid-harvard/ecomplexity	2014-08-19	
6	HTML	2016-10-04	1	1584	4	6	https://github.com/berkmancenter/amber_common	2014-05-09	Common code and documentation for the Amber project
6	HTML	2018-04-13	1	308	3	6	https://github.com/OpenSDP/nearly-unique-r	2017-05-18	OpenSDP data cleaning tutorial on applying decision rules
6	Java	2019-02-20	1	4220	1	6	https://github.com/penzance/harvard-data-tools	2016-02-09	
